Company_Name,Start_Date,End_Date,lastPrice,Std_Dev,Beta,avgForcast
SEQUENT,2021-01-01,2023-09-29,124.85,0.03295864113931948,0.9880252209528492,####
YESBANK,2021-01-01,2023-10-06,23.95,0.02522771155082417,0.988263524242831,16.05
HINDWAREAP,2021-01-01,2023-09-29,377.0,0.029312738628477344,0.9888966591390254,588.67
SHIVAMAUTO,2021-01-01,2023-09-29,41.2,0.03197096998550507,0.9898786858621156,####
V2RETAIL,2021-01-01,2023-09-29,375.0,0.03199488778152559,0.9913340646655256,####
DCMNVL,2021-01-01,2023-09-29,212.25,0.03137639100930701,0.9914050836468882,####
ENIL,2021-01-01,2023-09-29,318.1,0.02726452347025343,0.9923878790428856,300.0
RESPONIND,2021-01-01,2023-09-29,288.5,0.03429009812605821,0.9929916095321456,503.0
CHENNPETRO,2021-01-01,2023-09-29,904.0,0.03374249425677323,0.9931297990654866,1136.0
AARTIIND,2021-01-01,2023-09-29,665.5,0.019897369265699974,0.9932499105469068,619.15
MINDACORP,2021-01-01,2023-09-29,418.3,0.0279678284643015,0.993401683175992,474.4
DECCANCE,2021-01-01,2023-09-29,602.0,0.020042259578253455,0.993600051675366,560.0
DALMIASUG,2021-01-01,2023-09-29,392.1,0.03162508781326013,0.9937293337835712,490.0
BEPL,2021-01-01,2023-09-29,93.75,0.026765135055577264,0.9939257954094312,####
ELECTCAST,2021-01-01,2023-09-29,163.0,0.028067608599901483,0.9939882546589244,233.0
SILINV,2021-01-01,2023-09-29,549.95,0.029754507899782855,0.9951249705203252,####
SCHNEIDER,2021-01-01,2023-09-29,709.0,0.03159493700115599,0.9956923912789882,690.0
ALPA,2021-01-01,2023-09-29,99.6,0.036804238645642126,0.9960983602966196,####
PGIL,2021-01-01,2023-09-29,654.85,0.03818786230821302,0.9962533870153604,####
DPWIRES,2021-01-01,2023-09-29,500.0,0.03735237169457954,0.9970098421561446,####
TNPL,2021-01-01,2023-09-29,273.5,0.025868419540539474,0.9970369186523764,####
MEP,2021-01-01,2023-09-29,14.15,0.03651122693562524,0.9971109621591878,####
ORISSAMINE,2021-01-01,2023-09-29,6531.0,0.02986548281307784,0.9972066054490102,####
AMBIKCO,2021-01-01,2023-09-29,1560.5,0.027761875292431442,0.9972477748269708,####
WIPRO,2021-01-01,2023-09-29,514.4,0.01608410846975425,0.9973477005521456,469.58
DREDGECORP,2021-01-01,2023-09-29,710.75,0.02718628340040228,0.9975919741932032,####
ANDHRSUGAR,2021-01-01,2023-09-29,107.15,0.026302941188748232,0.9978040027635944,####
INDIANHUME,2021-01-01,2023-09-29,278.35,0.024976846228698148,0.9979788251762116,286.0
KIRLOSBROS,2021-01-01,2023-09-29,1088.5,0.03232210453227972,0.99834779925745,####
ADFFOODS,2021-01-01,2023-09-29,208.0,0.026460304429189344,0.9994241599107724,199.0
BIL,2021-01-01,2023-09-29,319.95,0.03447759375292825,0.999530309751744,####
MARKER1,MARKER1,MARKER1,MARKER1,MARKER1,1.0,MARKER0
SAKHTISUG,2021-01-01,2023-09-29,34.6,0.03719957322099091,1.0016112741079315,####
SARDAEN,2021-01-01,2023-09-29,207.55,0.03050984702896941,1.0033099201709477,####
ZENSARTECH,2021-01-01,2023-09-29,588.65,0.027228965918659205,1.0033496193514846,618.25
SUVEN,2021-01-01,2023-09-29,106.45,0.029214422990641226,1.003660121314002,####
HPL,2021-01-01,2023-09-29,330.05,0.03500155455040638,1.003670284706925,305.0
63MOONS,2021-01-01,2023-09-29,440.0,0.035206656365693534,1.0044323074556367,####
MANGLMCEM,2021-01-01,2023-09-29,743.0,0.02436700672962366,1.0049756762468631,####
DELPHIFX,2021-01-01,2023-09-29,260.8,0.03474079647910553,1.00499634022369,####
RUPA,2021-01-01,2023-09-29,266.1,0.027621759388105918,1.0056254952294408,308.0
VARROC,2021-01-01,2023-09-29,490.05,0.02747210462395771,1.0064653639092995,568.83
GLOBUSSPR,2021-01-01,2023-09-29,768.0,0.032304310817558884,1.006506930569865,2519.0
HDFCAMC,2021-01-01,2023-09-29,3740.0,0.018142489705754144,1.0071281480993048,3585.95
KBCGLOBAL,2021-01-01,2023-10-16,2.05,0.034283762188257454,1.0074858547475347,####
ASPINWALL,2021-01-01,2023-09-29,275.0,0.0347191839542862,1.0075715229218547,####
SUPERHOUSE,2021-01-01,2023-09-29,216.75,0.03271517965592982,1.00785107531824,####
APCL,2021-01-01,2023-09-29,198.8,0.027595344986593797,1.0087426334897298,####
BHARATWIRE,2021-01-01,2023-09-29,307.0,0.034806040678992706,1.0091072868843984,####
ZODIACLOTH,2021-01-01,2023-09-29,124.9,0.02706989429468617,1.0101828490531,####
UGARSUGAR,2021-01-01,2023-09-29,78.45,0.03721575109145279,1.0114358238934478,####
SHALBY,2021-01-01,2023-09-29,248.4,0.026790828733759656,1.0122366445328432,364.0
IOB,2021-01-01,2023-09-29,66.05,0.03495849663093675,1.0126372339553338,####
CENTENKA,2021-01-01,2023-09-29,434.65,0.025260234644563995,1.012667240557849,####
AMBUJACEM,2021-01-01,2023-09-29,605.05,0.02246681734942631,1.013088160826944,580.41
CENTRUM,2021-01-01,2023-09-29,31.5,0.03282909074931137,1.013163691431302,####
INDUSTOWER,2021-01-01,2023-09-29,254.0,0.024149837501288747,1.0131974173653937,225.43
DCBBANK,2021-01-01,2023-09-29,127.3,0.022786216368277906,1.013589037346975,157.37
REFEX,2021-01-01,2023-09-29,660.3,0.0387564863516032,1.0148027574551215,####
CEREBRAINT,2021-01-01,2023-09-29,7.25,0.03539047070848141,1.0151819263829942,####
LUMAXTECH,2021-01-01,2023-09-29,452.9,0.029112432949717947,1.0170340650687708,541.33
ROUTE,2021-01-01,2023-09-29,1587.0,0.028606254447506748,1.0180269419340198,1872.5
ONWARDTEC,2021-01-01,2023-09-29,505.0,0.035083121968714916,1.0182242642224035,####
TRENT,2021-01-01,2023-09-29,3954.9,0.020264457046787317,1.019192920841236,3725.78
VETO,2021-01-01,2023-09-29,130.15,0.031908263686218026,1.019686844403895,####
SHAREINDIA,2021-01-01,2023-09-29,1738.0,0.02733351467844642,1.020327382444993,####
STEL,2021-01-01,2023-09-29,333.8,0.03324208613537906,1.0214825627237183,####
TAKE,2021-01-01,2023-09-29,25.9,0.032795813764789856,1.0222603717367174,####
SHAKTIPUMP,2021-01-01,2023-09-29,1277.9,0.03091983227074321,1.0231455491100956,1753.0
TECHM,2021-01-01,2023-09-29,1283.2,0.018319774929821044,1.0264227558437913,1303.62
GPIL,2021-01-01,2023-09-29,743.05,0.03347619108985643,1.0269684761208917,1060.0
NMDC,2021-01-01,2023-09-29,238.25,0.022979309342663123,1.027239238966685,229.06
ATULAUTO,2021-01-01,2023-09-29,568.0,0.03004947016194475,1.0275214748659534,####
PANAMAPET,2021-01-01,2023-09-29,345.7,0.03030264175933089,1.027849480214187,466.0
SALONA,2021-01-01,2023-09-29,311.05,0.03883725818256236,1.029890072571804,####
NFL,2021-01-01,2023-09-29,101.5,0.03279697932519868,1.030894087167069,####
KOTAKBANK,2021-01-01,2023-09-29,1749.7,0.01525596572852562,1.0309473265394404,2062.28
AVTNPL,2021-01-01,2023-09-29,95.15,0.027423127993314023,1.0309785461265275,####
ORBTEXP,2021-01-01,2023-09-29,162.5,0.035678664773563164,1.0316199804655188,####
FSL,2021-01-01,2023-09-29,197.3,0.025201719990651968,1.0321369630938235,230.0
MPHASIS,2021-01-01,2023-09-29,2490.9,0.021223320473463377,1.0322232566137686,2528.26
JKTYRE,2021-01-01,2023-09-29,499.7,0.030218335774385586,1.0325814168332594,581.5
ADSL,2021-01-01,2023-09-29,154.0,0.035870720464629836,1.0328957833557506,####
SKMEGGPROD,2021-01-01,2023-09-29,245.0,0.03376297447303608,1.0342396786890604,####
DISHTV,2021-01-01,2023-10-03,20.1,0.03886618207490572,1.034595784484443,24.0
IRB,2021-01-01,2023-09-29,61.35,0.031164501373849168,1.035579452743535,60.5
NELCO,2021-01-01,2023-09-29,810.8,0.03253884620589691,1.0368917391600758,####
ALKALI,2021-01-01,2023-09-29,114.75,0.03848196846361658,1.0374214496413985,####
KCP,2021-01-01,2023-09-29,178.5,0.02503359889989974,1.0381902605814863,####
GENUSPAPER,2021-01-01,2023-09-29,20.55,0.03420968658210963,1.0384347179983804,####
KMSUGAR,2021-01-01,2023-09-29,32.75,0.037317849281223656,1.0390144780473003,####
MASTEK,2021-01-01,2023-09-29,2860.0,0.026901752424919732,1.0390843942710686,3281.17
ARVINDFASN,2021-01-01,2023-09-29,460.0,0.02855796711402561,1.0405115375562792,585.0
PFC,2021-01-01,2023-09-29,429.6,0.018834312873756094,1.0407125158731934,539.8
SARLAPOLY,2021-01-01,2023-09-29,60.9,0.03240437448207424,1.041805635953898,####
MADRASFERT,2021-01-01,2023-09-29,92.45,0.03923656825159219,1.0419748264618758,####
DEEPAKFERT,2021-01-01,2023-09-29,513.0,0.029880297003119224,1.042312308148415,687.0
IGPL,2021-01-01,2023-09-29,441.4,0.026822678282360787,1.043055490492511,580.0
LTIM,2021-01-01,2023-09-29,5110.85,0.021478319577025617,1.043273157555098,5982.26
HITECHCORP,2021-01-01,2023-09-29,217.25,0.03221970440805585,1.043346839062332,####
RAYMOND,2021-01-01,2023-09-29,1761.8,0.030680951530745283,1.0438059596285494,2461.75
SUZLON,2021-01-01,2023-09-29,40.6,0.0380857316766034,1.0441505857098052,51.0
OSWALGREEN,2021-01-01,2023-09-29,33.6,0.03618010056228715,1.0452051435721923,####
TFCILTD,2021-01-01,2023-09-29,220.1,0.029975381691363767,1.045705496972048,####
RTNINDIA,2021-01-01,2023-09-29,78.2,0.03885764466552224,1.0458316338032496,95.0
HINDOILEXP,2021-01-01,2023-09-29,184.5,0.03381492353649486,1.0459377001606365,####
RAMCOSYS,2021-01-01,2023-09-29,315.0,0.03288699791363543,1.0466889959349812,400.0
DIXON,2021-01-01,2023-09-29,7125.0,0.02426456088020234,1.0474085059894118,6407.71
LOVABLE,2021-01-01,2023-09-29,137.35,0.03297691692618686,1.0476450812309233,####
BHARATFORG,2021-01-01,2023-09-29,1170.9,0.019685981595098708,1.047686148327891,1166.82
MAHABANK,2021-01-01,2023-09-29,61.95,0.03216461303769351,1.0487842321724812,####
ASTRAMICRO,2021-01-01,2023-09-29,620.45,0.029635568844484737,1.048845434977353,770.0
KUANTUM,2021-01-01,2023-09-29,175.5,0.03361230750636636,1.0491537121351235,####
HERCULES,2021-01-01,2023-09-29,442.05,0.028478717651456386,1.050291403728551,####
KITEX,2021-01-01,2023-09-29,234.9,0.030772647875867365,1.0505603528549607,####
ORICONENT,2021-01-01,2023-09-29,38.25,0.031137439870860595,1.0531292335912144,####
NAHARCAP,2021-01-01,2023-09-29,334.0,0.03909422898358913,1.0541960636761574,####
JAYAGROGN,2021-01-01,2023-09-29,227.0,0.030794150133608846,1.0562965889598537,####
KOTHARIPET,2021-01-01,2023-09-29,129.9,0.03818253052369111,1.0570771284432294,####
RAMANEWS,2021-01-01,2023-09-29,18.8,0.030214888828060154,1.057180039996776,####
COFORGE,2021-01-01,2023-09-29,6250.9,0.024466025807495753,1.05769188371957,6584.14
SRF,2021-01-01,2023-09-29,2441.3,0.019701761447724443,1.0589693638171818,2439.96
JPASSOCIAT,2021-01-01,2023-10-30,17.9,0.0405349510413951,1.059891757460221,####
AFFLE,2021-01-01,2023-09-29,1095.0,0.024587688770716022,1.0604964345721997,1333.5
BIRLAMONEY,2021-01-01,2023-09-29,103.8,0.027734981083244424,1.0609638165566715,####
KAKATCEM,2021-01-01,2023-09-29,220.35,0.027247450529368476,1.0611427625265282,####
XCHANGING,2021-01-01,2023-09-29,130.45,0.03253417736293315,1.0612260319858613,####
LT,2021-01-01,2023-09-29,3679.0,0.015005572914516077,1.0613930252497712,3940.26
ATGL,2021-01-01,2023-09-29,1009.05,0.03622113588772531,1.0619437418030115,1340.0
INDIAGLYCO,2021-01-01,2023-09-29,822.25,0.031008022720423637,1.062590423931983,####
INTENTECH,2021-01-01,2023-09-29,125.0,0.03641947021947125,1.0636833678256032,####
SPECIALITY,2021-01-01,2023-09-29,203.0,0.03305707173591723,1.0643638172213852,####
VISESHINFO,2021-01-01,2023-09-29,0.55,0.09850747595348634,1.0647444395321213,####
JINDALSAW,2021-01-01,2023-09-29,466.95,0.030329668440624395,1.0651627888777375,590.5
TALBROAUTO,2021-01-01,2023-09-29,264.7,0.03262594597677093,1.0668208178529182,####
GSFC,2021-01-01,2023-09-29,216.95,0.02815069832107971,1.066867531893426,195.0
GRASIM,2021-01-01,2023-09-29,2222.0,0.016389624502392588,1.067572771604135,2479.33
RELIGARE,2021-01-01,2023-09-29,223.0,0.033752427155882274,1.0679590864863586,####
JUBLFOOD,2021-01-01,2023-09-29,453.85,0.02149299663693329,1.0680141029822574,501.55
WELENT,2021-01-01,2023-09-29,327.55,0.029043845963391223,1.0684606390325708,447.0
DOLLAR,2021-01-01,2023-09-29,527.9,0.028214958875386383,1.0685884836581183,550.5
