Company_Name,Long_Term_Beta,Daily_One_Month_Range,Daily_Three_Month_Range,Weekly_One_Year_Range,Weekly_Two_Year_Range,two_Week_Two_Year_Range,Monthly_Two_Year_Range,1_month_return,12_month_return
TEMBO,0.0,0.217,0.253,0.806,1.06,0.773,0.0297,-7.0859167404783,38.026315789473685
TATACONSUM,1.06,1.41,0.942,0.959,0.682,0.703,0.946,-7.083952064575461,55.048991355444755
HGS,1.38,2.33,0.921,0.902,1.2,0.922,1.03,-7.045465739098063,-18.847754305759164
STEL,1.61,2.81,1.13,-0.079,0.83,0.623,0.332,-7.015710458348916,113.16871144552532
RAMCOSYS,1.03,2.55,1.61,0.166,0.662,0.703,0.875,-6.993336075689018,30.304375038180876
PASUPTAC,0.0,3.05,1.88,0.681,1.15,1.13,0.679,-6.993006744277822,38.30156325234076
ABAN,1.1,2.35,2.14,0.532,0.923,0.536,0.819,-6.9750368670053104,71.680205567721
PALREDTEC,0.559,4.48,1.83,1.42,1.43,1.41,0.0091,-6.918847313634085,8.396079548385813
SYRMA,0.0,3.11,1.3,1.34,0.0,0.0,0.0,-6.865616255628993,79.67793217211023
ANANTRAJ,1.15,4.17,1.13,1.25,1.83,1.59,1.15,-6.863434156415845,148.11855592574113
SIGNATURE,0.0,5.04,1.29,0.0,0.0,0.0,0.0,-6.845895789579794,184.8762585548051
KRITI,0.0,3.43,0.774,0.939,0.948,0.35,-0.063,-6.832722279875665,31.122681094209103
MRF,0.963,1.06,0.78,0.661,0.708,0.981,1.75,-6.830751308923029,61.6372058128909
BGLOBAL,0.0,0.36,0.246,0.387,0.054,0.192,0.771,-6.818186005284872,49.090905623002485
GSLSU,0.0,4.42,2.79,-0.099,0.0,0.0,0.0,-6.799241268273557,26.66666823771316
PFOCUS,0.93,4.22,0.817,0.457,1.14,1.89,1.5,-6.7911713011459245,38.899429238309466
TRF,1.75,1.24,0.24,0.091,0.268,-0.0249,-1.15,-6.77299438671252,172.8064730689964
GANESHBE,0.0,3.43,1.5,0.239,1.09,0.393,0.808,-6.746547097749657,5.139500734214391
ANURAS,0.0,0.719,0.569,0.994,0.712,0.9,1.6,-6.720273239651544,0.7294288576105973
FEL,1.59,0.0314,0.0229,0.254,0.629,0.906,0.307,-6.66666825612386,7.692309808449005
SWANENERGY,1.0,3.92,1.75,-0.59,1.03,0.926,1.59,-6.659285553116288,209.90679516060445
AKI,0.0,1.5,0.689,-0.177,0.0,0.0,0.0,-6.638120424354432,12.313237549906992
21STCENMGM,1.2,0.556,-0.0459,1.5,0.596,1.05,1.58,-6.63265306122449,119.95193114471184
NIITLTD,0.98,3.61,1.86,1.6,1.64,0.929,-1.01,-6.6115702479338845,-68.61546900954882
APOLLO,1.34,2.86,1.39,0.815,1.25,1.6,0.921,-6.6095519394599,289.59738045113875
PGHL,0.437,1.34,0.106,0.086,0.372,0.557,0.0406,-6.604903875612746,3.84030897474028
KOTHARIPRO,1.68,1.76,1.46,-0.113,1.1,1.61,2.64,-6.5784853811314745,13.856203831358933
LEXUS,0.0,2.38,1.71,-0.112,-0.457,-0.894,-0.983,-6.57015737792162,-40.411932025997594
KERNEX,0.667,0.954,0.739,0.124,1.04,1.21,0.719,-6.56018318440787,156.86443874617396
MOKSH,0.0,3.35,2.56,0.232,0.389,-0.309,-0.561,-6.496518181414264,107.73195891492313
BALAMINES,1.81,2.5,1.26,1.16,1.38,1.8,1.93,-6.495676776115726,5.661389332130493
DCI,0.0,1.3,0.855,0.378,1.38,-0.286,3.07,-6.471161369864979,66.76750392185178
SPLPETRO,0.0,4.07,1.61,0.477,0.0,0.0,0.0,-6.465609543949371,78.13941707259579
PIONEEREMB,1.73,1.43,0.796,-0.967,1.03,1.24,1.58,-6.441049808036602,31.846149151141827
TVSHLTD,1.08,1.02,0.869,1.68,0.777,1.42,1.85,-6.425753298759272,162.3758508042231
CEATLTD,1.12,1.41,1.03,1.42,1.3,1.35,2.51,-6.4046290926498255,91.0373619065438
TTKPRESTIG,0.629,0.801,0.292,0.211,0.616,0.493,0.249,-6.401737825646736,-4.822113638709171
HLEGLAS,0.0,1.62,0.912,0.783,1.08,1.37,1.73,-6.375937402098998,-9.70123128638267
DODLA,0.0,2.58,1.71,0.703,0.577,0.726,0.946,-6.373828581436887,77.76974152405471
PFIZER,0.245,0.574,0.304,0.358,0.421,0.511,0.558,-6.370581146859163,20.33074690462515
JKPAPER,1.25,1.61,1.62,0.561,1.13,1.04,1.27,-6.366297562438946,-6.936576412766667
APCL,1.78,4.05,1.67,0.692,1.56,1.52,1.75,-6.330716734969938,8.094675833235979
NEWGEN,0.782,2.81,1.3,0.392,1.13,1.02,1.19,-6.253298447780013,264.00483490417673
GREAVESCOT,0.678,2.92,1.03,1.16,1.55,1.56,0.871,-6.245779621058653,3.215832832453944
TEXRAIL,1.31,5.16,2.29,0.894,1.03,1.62,0.979,-6.231290856186225,271.33153041833305
SAGARDEEP,0.496,1.44,0.502,0.444,0.856,0.896,0.948,-6.228371144705527,20.177389349669372
RUCHIRA,1.64,3.42,1.96,0.372,1.21,1.27,0.602,-6.226558786000239,22.97097700306129
CAMPUS,0.0,1.73,0.734,0.567,0.0,0.0,0.0,-6.21905214419988,-29.09553629000748
NAGREEKCAP,0.0,0.261,0.457,0.903,0.913,0.194,0.122,-6.217610896515166,-16.972472408626185
MARATHON,1.62,3.22,1.42,1.31,0.689,-0.32,-1.25,-6.215987165658719,59.88931006426328
ADFFOODS,1.5,2.28,2.13,0.807,1.0,0.774,0.744,-6.202870255754523,31.299378820542543
PTCIL,0.0,3.52,1.4,0.0,0.0,0.0,0.0,-6.188165421717455,153.70584988040875
MALUPAPER,0.953,1.51,1.45,0.912,0.94,1.09,-0.103,-6.187843617813363,47.9094063919172
MAGNUM,1.06,2.7,0.909,-0.0111,1.29,1.52,0.466,-6.1718110356168,93.7261428145667
BATAINDIA,1.17,0.615,0.795,0.731,0.904,1.01,1.16,-6.167383992126833,-4.234468163233541
AVTNPL,1.49,3.73,1.58,0.624,1.01,0.894,0.757,-6.144956577363746,9.834050583965215
DALMIASUG,1.23,2.24,0.832,0.238,0.995,0.956,0.559,-6.144281643540112,6.741654423353551
ORISSAMINE,1.6,3.07,1.44,0.915,1.44,1.18,1.78,-6.142966441289792,150.3022714269306
KSOLVES,0.0,3.57,1.01,-0.565,0.393,0.47,0.838,-6.134866976119531,119.74564834180244
KABRAEXTRU,1.15,3.38,1.45,0.701,1.32,1.44,0.731,-6.104485875872658,-32.73669962118228
INDORAMA,1.02,4.52,1.43,0.362,0.788,0.667,0.182,-6.103763798298995,8.460640078420495
BAJAJHLDNG,1.38,0.629,0.58,1.02,1.12,1.19,0.997,-6.080580349698699,41.5763936634252
BBTC,0.839,2.97,1.81,1.25,1.13,0.893,0.701,-6.068320535246518,85.48136608612405
VERTOZ,0.373,2.91,0.607,-0.0452,1.01,1.1,-0.568,-6.0650287953889395,254.2745804305028
NELCO,1.9,2.86,1.45,1.65,1.94,1.53,1.42,-6.023946335472012,35.87363990346358
ALLCARGO,1.43,4.39,1.72,1.27,1.0,1.28,1.26,-5.996371162497872,-15.422344987333958
INDOTHAI,2.55,0.811,-1.34,0.487,1.09,1.14,2.46,-5.9929925339433865,16.40023161317468
AAATECH,0.0,2.46,1.1,1.01,1.38,2.05,2.48,-5.973892609835898,60.7725348083758
ONEPOINT,0.311,4.02,2.2,-0.747,0.398,0.428,2.1,-5.968859530239165,189.09574829652456
BIOFILCHEM,2.02,5.28,2.25,1.14,1.18,1.11,1.33,-5.968081706629303,54.328012859092034
LORDSCHLO,0.0,2.16,1.01,0.0,0.0,0.0,0.0,-5.966331472267543,-26.34747623644754
BHAGERIA,0.979,3.69,1.3,1.3,0.999,1.16,1.29,-5.948154923047408,30.716722127569255
CHEVIOT,0.0,2.32,1.3,0.514,0.0,0.0,0.0,-5.9441767362467175,30.002456384202453
UMESLTD,0.0,2.53,1.74,1.96,0.932,2.09,3.81,-5.932201677545423,56.338035641764726
TVSSRICHAK,1.22,0.711,0.498,-0.061,0.721,0.895,1.58,-5.887433011429877,50.175315290874934
MAGADSUGAR,0.742,1.94,0.817,-0.505,0.669,0.526,-0.212,-5.886185603206591,71.17437464760434
NRBBEARING,1.14,4.05,1.59,1.32,0.864,0.939,0.668,-5.820533548908649,119.65041868812702
SSWL,0.79,1.56,0.714,1.11,1.23,0.864,0.35,-5.777598346278145,57.46514582062676
VALIANTORG,0.0,3.31,1.11,1.17,0.981,1.59,1.68,-5.774512593182637,-2.154585516535747
THYROCARE,0.761,2.34,0.339,0.93,0.668,1.06,1.15,-5.765818833874835,50.1904100962977
UDS,0.0,1.67,1.32,0.0,0.0,0.0,0.0,-5.747290656024369,14.952452666310862
KRITINUT,0.0,5.39,1.6,1.31,0.0,0.0,0.0,-5.738481588326495,139.71291573470478
MSPL,1.26,3.21,0.974,-0.0412,1.14,1.2,1.07,-5.714283292255704,224.59018580494808
RGL,0.883,3.28,0.922,0.336,0.714,1.06,-0.175,-5.690075032230959,37.63250456303385
TOTAL,0.0,3.25,0.953,-0.276,0.586,0.8,0.851,-5.689277899343545,-18.43300906771691
BOMDYEING,1.46,4.95,2.66,1.47,1.62,0.783,1.35,-5.685889119518565,162.64411696887512
XPROINDIA,1.76,2.06,1.63,0.994,1.43,0.859,0.868,-5.677907657759126,67.55559949892125
PODDARMENT,1.07,2.99,0.553,0.101,0.646,0.867,0.954,-5.650643294120885,27.66035779323967
IDEAFORGE,0.0,1.6,0.554,0.0,0.0,0.0,0.0,-5.639437046834386,-44.50364481162267
POWERGRID,0.472,3.06,1.28,0.919,0.513,0.699,0.844,-5.627120713056144,73.82821960339257
RENUKA,0.586,2.78,1.3,0.4,1.01,0.459,0.0318,-5.609489880723014,-3.7403756532511583
ASTRAZEN,0.14,0.304,0.571,0.168,0.634,0.55,0.217,-5.606657270804822,57.157873486389846
RAJESHEXPO,-0.0105,1.92,1.13,0.552,0.367,0.308,-0.22,-5.603315724900675,-50.68569954491632
ITDCEM,1.56,4.91,2.05,1.26,1.39,1.28,2.32,-5.5955964304136705,208.74159555532145
FUSION,0.0,1.68,1.13,0.705,0.0,0.0,0.0,-5.593735867849911,22.75040151617477
ONGC,0.543,1.92,2.08,0.396,0.67,0.449,0.869,-5.568277636288546,83.64899689089671
SUTLEJTEX,1.4,3.8,1.83,1.08,1.11,1.01,1.07,-5.564517359579764,31.131012846943072
ALKYLAMINE,1.57,1.63,0.762,1.03,0.717,1.09,1.75,-5.562285178170595,-5.168546894009415
CLEDUCATE,0.345,2.45,1.42,0.352,0.978,1.03,1.63,-5.56149406229111,68.19048200334822
TIPSINDLTD,1.43,2.58,1.44,0.823,1.34,1.69,1.42,-5.551650351204913,203.1998320940368
HINDUNILVR,0.591,1.29,0.761,0.283,0.445,0.383,0.37,-5.537851993929471,-10.861409738055954
MCLEODRUSS,1.93,1.91,1.48,0.694,0.489,1.15,1.66,-5.5292259750152395,64.73829337166386
JLHL,0.0,1.23,0.062,0.0,0.0,0.0,0.0,-5.5256168893293065,12.447132178857776
WIPRO,1.1,1.27,1.31,1.12,1.3,1.51,1.01,-5.503604261022149,31.46299510412745
OMKARCHEM,2.09,1.92,0.193,-0.31,1.54,1.71,1.95,-5.4794532180301925,-16.867470640907044
ADVENZYMES,0.53,1.49,0.931,0.664,0.876,0.964,1.17,-5.45335085413929,45.593474982969944
APTUS,0.0,2.91,0.734,0.632,0.969,1.16,1.23,-5.415523008355478,39.20905242794218
MOL,0.0,3.57,1.78,0.521,1.03,0.814,0.462,-5.400986901499398,-2.7481823171091246
RAMASTEEL,1.21,2.84,1.62,1.16,1.05,0.945,1.4,-5.395683601315823,26.442308662205793
UCOBANK,0.57,4.16,2.17,1.1,1.03,0.61,-0.081,-5.389718144478087,124.60629958214795
KTKBANK,1.16,1.7,1.38,1.22,1.45,1.29,1.94,-5.376985337999132,87.15924961963772
J&KBANK,1.86,2.21,1.4,1.43,1.84,1.67,2.09,-5.375974182066068,174.64742611684625
PEARLPOLY,0.667,8.2,3.11,0.992,0.533,-0.1,1.05,-5.349796219818236,72.0698319839832
HYBRIDFIN,0.0,1.87,0.2,-0.516,0.0,0.0,0.0,-5.347593364711766,6.6265081698289405
CHEMCON,0.0,1.83,0.675,1.33,1.18,0.997,0.847,-5.3446371737639256,2.4945059529374003
BANG,0.703,1.95,0.262,1.11,1.01,0.435,1.16,-5.344204206823208,36.60130718954248
SAMHI,0.0,1.1,1.76,0.0,0.0,0.0,0.0,-5.319883485973706,43.96792589633685
KIOCL,1.01,4.54,2.61,0.104,0.855,0.84,0.445,-5.306519308155052,154.9250992128891
SINDHUTRAD,0.0,4.24,1.47,0.0,0.0,0.0,0.0,-5.305464946275019,24.52431813091767
ARCHIES,1.35,2.09,1.7,1.0,1.31,1.92,2.14,-5.299854371132498,76.36364032695819
INDTERRAIN,1.64,2.64,2.04,0.788,1.22,1.59,2.12,-5.298832989407317,54.317268376442605
NAVNETEDUL,0.947,3.36,1.13,0.597,1.29,1.47,1.91,-5.289256198347108,48.641356450669306
RAIN,1.57,3.92,2.22,1.52,1.84,1.74,1.63,-5.2850045451263705,12.843682456183418
UTTAMSUGAR,0.82,2.98,0.902,-0.894,1.19,0.845,1.03,-5.284232096476918,44.18037891389654
NAHARSPING,1.58,2.89,1.92,0.051,1.07,1.3,1.33,-5.280787528807416,8.995777290597145
NACLIND,1.48,2.25,0.934,0.483,1.15,1.11,0.402,-5.267066723128712,-24.16864514452448
MTEDUCARE,1.19,0.911,0.65,1.09,0.672,0.61,0.891,-5.263159215615413,-12.195122234882314
ALICON,0.494,2.77,1.34,1.27,1.01,0.778,1.2,-5.245362659317067,21.45652708437099
BIRLACABLE,0.599,4.07,1.62,0.231,1.65,1.91,0.526,-5.2426121820220555,91.25704022777909
SHYAMMETL,0.0,2.89,1.78,0.723,0.973,0.68,1.41,-5.241841380410358,126.52743085147422
KALYANIFRG,0.576,0.924,0.453,0.368,0.898,1.24,0.344,-5.193266679675023,74.1916216929428
DAMODARIND,1.73,3.12,2.11,0.93,1.29,1.39,0.754,-5.15063457061746,13.356562373757225
ADORWELD,0.597,1.19,0.443,0.462,0.931,0.824,0.525,-5.128895385756863,42.747469815340914
DVL,1.7,2.37,2.46,0.634,1.06,1.01,1.32,-5.114539691427771,51.865277157310075
HSCL,1.3,1.56,0.888,0.93,1.76,1.72,2.65,-5.107523515763227,271.4624525837073
SASTASUNDR,1.19,3.52,1.36,0.302,0.906,0.9,0.867,-5.09031726800127,32.40315943991539
MEDICAMEQ,0.0,4.06,1.35,1.05,0.985,1.02,0.721,-5.080074575650643,-36.33518502534752
MANAKSIA,0.739,2.96,1.13,1.06,1.28,0.967,-0.41,-5.076142263038552,-5.515792043585526
CREST,0.505,0.933,0.99,-0.309,0.758,1.08,1.24,-5.028056878531577,160.50896764292878
LFIC,0.38,0.58,1.35,0.413,1.68,1.17,1.21,-5.023863273892921,71.00859143644483
DABUR,0.555,0.707,0.628,0.689,0.673,0.638,0.712,-5.021039009540089,-6.410206953018595
POCL,0.0,3.99,1.83,1.09,0.0,0.0,0.0,-5.001392990755823,104.47670328654064
GFLLIMITED,1.38,3.82,1.36,-0.067,0.777,0.871,0.97,-4.999998139172066,45.335827879715765
ELGIRUBCO,2.08,4.71,2.23,1.7,1.68,1.33,1.24,-4.999997323019463,64.09091371478456
DCM,0.614,3.38,1.43,0.645,1.06,0.416,-0.152,-4.999996366954986,9.465022471130489
TTML,3.29,4.31,1.58,1.02,1.37,1.13,0.879,-4.95337977719679,33.4697300954898
IWEL,0.0,2.05,1.62,1.87,1.29,1.27,2.12,-4.939635649019485,454.3582961881051
KALAMANDIR,0.0,1.93,1.02,0.0,0.0,0.0,0.0,-4.934519598301321,-17.006939540426945
BVCL,0.922,1.05,0.531,1.85,1.3,0.921,0.965,-4.926531632314608,121.32796440925884
ENGINERSIN,1.09,5.11,2.92,1.28,1.31,1.64,2.17,-4.91100032081744,202.71631123294864
PATINTLOG,1.52,6.02,2.1,0.657,1.22,2.04,1.57,-4.887979197080009,95.3974958507186
KBCGLOBAL,2.54,2.14,1.49,0.229,1.67,1.63,0.48,-4.878044241882981,-18.750001241763385
SFL,0.667,1.86,1.31,1.05,0.778,1.08,1.57,-4.839972117274211,-3.5076447188119206
HMAAGRO,0.0,4.17,1.41,0.0,0.0,0.0,0.0,-4.8374294591073825,-89.34003167063752
MOTHERSON,1.72,2.22,0.844,1.01,1.32,1.26,1.2,-4.822634969739674,77.9654508155709
OAL,1.16,3.35,0.933,1.12,1.1,0.535,0.133,-4.813136866494586,-3.3213480353612512
DWARKESH,1.08,0.43,0.527,0.217,1.05,0.782,0.342,-4.811846241866764,-14.230123242503812
OSWALSEEDS,0.0,5.28,1.56,0.121,0.369,-0.515,-1.8,-4.805190841872971,-38.07378051940384
MIRCELECTR,1.76,3.19,3.14,2.12,1.92,1.82,1.9,-4.803495195605269,64.52829612875884
SWELECTES,1.22,0.481,0.564,0.223,1.47,1.36,1.25,-4.803275225649297,241.68684242240036
ITI,0.949,6.13,2.31,1.31,1.37,0.858,0.365,-4.800550676045276,200.9279459479044
NETWEB,0.0,3.48,1.39,0.0,0.0,0.0,0.0,-4.799444276728531,81.05776926432124
METROBRAND,0.0,0.353,0.074,0.204,0.789,1.13,0.586,-4.797815018336117,33.42088390418614
SUNTECK,0.871,2.55,0.916,1.54,1.25,0.872,0.157,-4.795928029395726,51.859764580891586
VIPCLOTHNG,0.802,5.16,1.9,0.835,0.808,0.0367,-0.623,-4.7619065362856885,-4.059044191741223
TDPOWERSYS,1.03,2.66,0.896,1.17,0.644,1.05,0.825,-4.750670383375088,93.0577712105197
LUPIN,0.648,1.54,0.415,0.411,0.513,0.675,0.669,-4.735666418466121,143.78123718681636
BANCOINDIA,1.47,4.48,1.52,0.308,0.989,0.837,1.08,-4.733099708262469,189.07467381526635
RTNINDIA,1.96,5.11,2.11,0.443,1.78,1.73,1.69,-4.729303664625673,93.79747608039952
ARE&M,1.26,2.32,1.28,0.867,1.01,1.16,2.02,-4.674545909478046,27.407892190820345
INCREDIBLE,0.702,1.63,0.107,-0.347,0.534,0.445,0.667,-4.651162790697675,111.8863007323923
ZODIACLOTH,0.855,3.51,1.93,0.336,0.97,0.99,0.827,-4.651159233604969,34.047356952288155
RTNPOWER,2.05,2.18,1.31,0.736,1.36,2.34,2.46,-4.639173382615028,180.3030343533001
FOCUS,0.0,0.166,0.576,-0.09,0.649,0.317,-0.365,-4.622445061786051,34.37424584043388
PETRONET,0.229,0.838,0.775,0.973,0.591,0.61,0.248,-4.6204094555217585,23.72833181586064
NETWORK18,1.91,2.07,0.445,1.01,1.42,1.59,1.52,-4.619424174151083,60.370690250765335
CROMPTON,0.8,1.24,0.876,0.452,0.502,0.813,0.599,-4.615647848373464,-5.336203638289358
BHAGCHEM,0.0,2.8,0.0477,0.513,0.611,0.743,1.26,-4.615475260541099,32.529927477110746
ASMS,0.0,0.952,0.086,0.159,0.0,0.0,0.0,-4.611654103628101,257.27272033691406
CENTURYPLY,1.36,1.97,0.529,1.06,1.3,1.38,2.04,-4.611041499656702,40.917115827241766
KFINTECH,0.0,2.69,0.77,0.802,0.0,0.0,0.0,-4.593979398579732,129.24112018354813
HCLTECH,0.677,0.751,0.83,0.847,0.859,1.09,0.469,-4.575908648723419,45.13293938535448
FAIRCHEMOR,0.0,1.63,0.208,1.16,1.01,1.06,0.548,-4.5363889482129665,24.431812905149936
PSB,0.696,5.08,3.05,2.17,1.72,0.976,0.465,-4.508504039857355,151.69629864023523
MONTECARLO,0.678,1.9,0.696,0.797,1.17,0.741,-0.397,-4.473744574941508,-1.8269011868799268
IOC,0.959,2.86,1.66,1.23,0.927,0.973,0.892,-4.464035161246825,136.05561154377662
AARON,0.0,3.26,1.99,0.083,0.176,0.494,0.928,-4.463805109520822,37.9912738380861
STLTECH,1.42,3.5,1.27,1.23,1.35,1.02,0.906,-4.422145531987377,-16.826770870258947
ANMOL,0.0,5.37,1.59,0.937,0.81,0.474,0.723,-4.4090028288163525,23.54509866458776
MITCON,0.0,2.05,1.86,-0.373,0.428,0.312,0.531,-4.405459279437744,85.75757344563803
ONWARDTEC,1.65,1.91,0.629,2.53,1.47,1.43,1.1,-4.376171918124017,43.76949614584692
CREATIVEYE,0.0,0.927,0.121,1.04,0.0,0.0,0.0,-4.347822030685715,3.52941400864545
MMFL,0.919,0.949,0.553,0.341,0.913,0.954,0.788,-4.340238581566931,5.750453551179175
HIRECT,1.13,0.903,1.86,-0.24,0.561,0.621,-0.548,-4.326541776629268,220.2299448817287
NAHARINDUS,1.41,3.24,1.85,1.01,1.05,1.15,0.612,-4.309065964898438,29.57746586978128
NESCO,0.898,1.96,1.03,0.961,0.943,1.01,1.18,-4.2924714549238585,58.11340962984657
TARMAT,1.1,1.11,0.557,0.366,0.878,0.901,0.682,-4.289431986295651,48.95481412727188
TREL,0.0,3.94,1.98,0.0,0.0,0.0,0.0,-4.285714285714286,39.00414351027689
SENCO,0.0,2.89,1.19,0.0,0.0,0.0,0.0,-4.285627442301372,97.55558680627948
PAGEIND,0.729,1.3,0.994,0.106,0.486,0.444,0.691,-4.272124486767108,-7.831556799539571
MIDHANI,0.394,4.34,2.4,0.697,1.25,0.898,0.777,-4.264260477722502,122.15631193029466
FCSSOFT,2.7,2.67,2.46,2.34,1.71,2.16,0.607,-4.255315263436308,114.2857240170853
SCHAND,0.4,2.52,0.951,-0.084,0.973,1.34,1.1,-4.250824309154615,13.523372358715791
JMA,0.404,1.66,2.96,0.32,0.465,0.704,0.09,-4.240767406447725,68.9460940017493
EIDPARRY,1.15,2.02,0.375,0.848,0.824,0.835,0.846,-4.220233827460342,24.084080267631222
ERIS,0.776,1.7,0.505,0.383,0.459,0.444,0.687,-4.202772151238893,45.4925984901792
TOKYOPLAST,1.76,2.43,0.891,0.713,0.933,0.936,1.2,-4.195500465518469,12.895006852845151
LCCINFOTEC,0.0,0.613,1.06,1.43,1.29,2.07,0.168,-4.166672461562456,24.32432014459764
BIRLACORPN,1.7,1.49,1.06,1.01,1.16,0.992,1.3,-4.157529791425489,63.5633558469077
BARBEQUE,0.0,2.05,0.771,0.377,0.775,1.14,1.18,-4.156754836800969,-17.88274287091164
CLEAN,0.0,0.894,0.659,0.985,1.14,1.09,1.2,-4.153487381195594,-1.582544931911279
DELPHIFX,0.0,3.13,1.15,0.218,1.07,1.18,1.47,-4.138594802694899,-23.325635103926096
MAHSEAMLES,0.798,3.78,2.04,0.307,0.826,0.536,1.2,-4.1155459962491046,145.4340996519361
SARLAPOLY,1.53,2.7,1.02,1.68,1.24,1.43,1.08,-4.108463537699554,54.569532381777734
HISARMETAL,0.366,5.63,3.1,1.47,1.57,1.1,0.754,-4.099161006295056,48.16078654569501
OPTIEMUS,0.465,1.62,1.24,0.461,1.14,0.904,-0.226,-4.095327942065158,41.40064731097547
MMTC,1.06,3.7,2.38,2.68,2.18,2.13,0.398,-4.09175820126787,162.64854489056611
MPTODAY,0.0,2.16,0.631,-0.0443,-0.254,-0.079,0.765,-4.090910246877959,-31.64146837999032
PARAGMILK,1.11,2.64,1.17,1.46,1.26,1.31,2.18,-4.082085275768497,158.41347101701118
BHEL,1.89,3.68,1.54,1.46,1.78,2.01,2.4,-4.082013296846953,275.88172204478053
AKG,0.0,3.28,1.47,0.707,0.913,1.51,1.02,-4.063203765373209,-36.186184724141825
ATGL,2.7,3.16,1.29,3.97,1.95,2.07,4.28,-4.033722827943625,19.15291153232444
HARDWYN,0.0,2.26,1.68,0.888,0.0,0.0,2.49,-4.0000021046605605,76.52652466218245
WIPL,0.0,-0.266,0.086,0.55,0.45,0.439,0.468,-4.0,91.1262765456706
SRPL,0.0,3.11,0.443,-0.578,0.417,0.479,-0.332,-3.9999961853027344,-73.42192506823312
VCL,0.0,1.05,0.151,0.905,0.196,0.106,0.823,-3.9999961853027344,-42.605150405952905
AKSHOPTFBR,1.19,2.34,1.28,-0.379,0.892,0.662,1.06,-3.9999961853027344,8.474575905898964
NECCLTD,2.61,5.63,2.43,1.57,1.49,1.45,1.42,-3.9933407189936503,65.77899873082261
LTIM,1.37,0.378,0.731,1.3,1.37,1.78,1.66,-3.9763777504625857,3.1483936674176936
IOB,0.698,4.65,2.5,0.802,1.47,0.763,-0.367,-3.9711191335740073,191.0284415309173
KIMS,0.0,0.462,0.459,0.341,0.434,0.915,0.42,-3.967601831200845,44.581509635106755
BOROLTD,0.0,1.43,0.653,-0.703,0.659,0.907,1.49,-3.957813350497237,7.192676419934283
MAHESHWARI,0.654,3.88,1.22,-0.251,0.665,0.11,-0.299,-3.937544420633736,-18.255346614267875
SILVERTUC,0.0,2.28,0.702,1.43,0.073,-0.103,-0.868,-3.922255624917749,92.46719952391032
SEAMECLTD,1.79,1.2,0.278,0.598,0.99,0.886,1.57,-3.919223956982988,77.1391256664383
TRIVENI,0.646,1.68,0.896,0.165,1.21,0.715,0.422,-3.891785870803093,21.38097558315366
BBTCL,0.0,2.17,1.11,0.785,0.28,0.244,0.111,-3.890285529207533,16.848297700445883
ARVINDFASN,1.43,1.63,1.23,0.735,1.14,0.938,0.941,-3.883710851789632,50.949929373124434
LODHA,0.0,2.95,1.69,2.26,2.06,1.45,1.11,-3.882980047263988,157.20107967328244
FCL,1.53,3.25,1.18,1.16,1.44,1.83,2.01,-3.882545235680886,65.95108488949124
JPOLYINVST,2.23,1.42,1.35,-1.06,0.981,0.644,0.837,-3.8709660110554767,32.24421728681271
CARTRADE,0.0,3.1,0.641,0.672,1.01,0.885,0.755,-3.870409937774275,77.87016927805267
ASHOKA,1.08,2.43,1.65,0.789,1.32,1.34,0.091,-3.864338043464428,126.75409035604508
TANLA,1.64,4.35,1.27,2.06,1.78,1.9,1.06,-3.8623048917546,62.49806120080398
GARFIBRES,0.49,0.846,0.057,-0.113,0.525,0.829,0.249,-3.854103812996681,15.724635663819466
NILAINFRA,1.49,2.57,1.25,1.07,1.14,2.0,1.75,-3.8461538461538463,140.38462420187085
SESHAPAPER,1.08,2.8,1.51,1.4,1.08,1.14,1.35,-3.829465308292819,30.644181353418915
SELMC,0.0,0.372,0.403,-0.889,-0.539,-0.277,2.06,-3.8248068930188546,-49.54692754159082
WELENT,0.972,3.45,2.14,0.26,1.18,1.26,1.59,-3.810640548903134,147.52673969131493
AXISBANK,1.22,0.418,0.87,0.665,0.984,0.995,1.17,-3.788160555277955,23.205197932982394
SAHYADRI,0.0,2.88,1.11,0.663,0.0,0.0,0.0,-3.782874890980413,-0.1747295420656922
NUVOCO,0.0,1.8,0.857,0.727,0.96,1.37,0.749,-3.78221554541292,-8.392621862709275
AWL,0.0,2.05,1.03,1.17,1.47,0.606,1.88,-3.770488468024249,-11.273459786835934
CONFIPET,1.16,4.41,1.28,1.4,0.998,1.33,1.33,-3.7698441832453353,50.3875968992248
AUTOAXLES,0.876,1.33,0.62,0.684,1.26,0.758,-0.717,-3.736500067792543,-17.864783139955176
CAMLINFINE,1.12,2.27,1.42,1.15,1.37,1.7,1.07,-3.732982043882991,-29.084441080588817
ALPA,0.992,3.48,1.75,0.588,1.18,1.28,2.02,-3.727956622914043,67.04545765262607
BYKE,1.86,2.34,1.52,1.43,1.38,1.92,1.28,-3.725340447117092,72.5130895542107
HERITGFOOD,0.881,1.38,1.25,0.463,0.869,1.44,1.41,-3.7196847058661135,95.38042021008108
XCHANGING,1.4,3.37,2.28,2.1,1.48,1.77,2.0,-3.707955650120641,116.96812851606828
INVENTURE,1.66,0.704,0.166,1.58,1.84,2.24,1.5,-3.703708936484497,36.842101960961465
ALKEM,0.579,0.373,0.677,0.896,0.558,0.653,0.678,-3.68014335719333,45.41681035716279
INDNIPPON,0.449,5.18,2.12,1.39,1.07,1.11,0.68,-3.660060330426365,111.00058412828928
