Company_Name,Long_Term_Beta,Daily_One_Month_Range,Daily_Three_Month_Range,Weekly_One_Year_Range,Weekly_Two_Year_Range,two_Week_Two_Year_Range,Monthly_Two_Year_Range,1_month_return,12_month_return
GAYAHWS,0.0,0.439,-0.337,-0.65,0.171,0.55,0.256,-15.384610446952324,37.50000093132256
TECILCHEM,0.0,0.236,-0.19,0.0,0.0,0.0,0.0,-15.17671407201419,-6.849315187799379
GATECH,0.0,1.05,0.451,-0.385,-0.512,-0.234,-0.608,-15.151515370448651,16.666660043928623
MAHICKRA,0.0,2.25,1.28,0.836,0.396,0.394,-0.466,-15.130434782608695,28.62414545350417
JMFINANCIL,1.16,4.51,2.14,1.34,1.25,1.04,0.746,-15.086426775155145,31.471439662674097
BLUECHIP,0.0,0.0027,0.359,0.711,0.0,0.0,0.0,-14.925373559222251,849.9999304612505
MARSHALL,0.0,5.13,1.97,1.06,1.11,1.59,0.618,-14.705882038663932,-36.58577682946719
AMBICAAGAR,0.0,2.74,0.707,0.798,1.15,1.41,1.96,-14.392801969047303,43.46733559972362
SMLT,0.0,1.71,1.05,1.38,1.31,0.885,1.04,-14.29391220420547,28.227887073948647
MASKINVEST,0.0,0.397,0.116,1.72,0.865,2.13,9.48,-14.26806159084616,32.82296942751944
DANGEE,0.0,3.07,0.886,1.76,0.877,0.612,0.278,-14.220176984460709,-38.688522088723104
IITL,0.807,2.28,0.417,0.27,1.11,0.184,-0.4,-13.96482194296026,133.46751825746202
FLFL,1.35,0.851,0.384,1.5,0.348,-0.618,-1.41,-13.72548671283884,-61.06194671593816
BKMINDST,3.48,0.678,0.14,1.12,0.965,0.677,0.957,-13.636366591965793,89.99999761581421
KEEPLEARN,0.0,3.07,-0.0057,2.18,1.46,3.22,6.62,-13.592238313392745,21.917799808089377
APOLLOTYRE,1.6,1.42,0.861,0.868,1.24,1.33,1.62,-13.570108448887222,45.76608344735723
RPPL,0.0,2.17,0.666,0.556,0.459,0.368,-0.154,-13.496633648708515,71.96054636470872
GOLDSTAR,0.0,0.122,0.184,-0.246,0.0,0.0,0.0,-13.31269145086168,153.62318928215188
ENIL,0.746,2.96,1.95,0.576,0.675,0.859,0.769,-13.26131369785792,119.4059405940594
MBAPL,0.0,3.21,0.757,0.614,0.195,0.0447,-0.471,-13.168215040380325,-17.01294658332541
ZEELEARN,1.99,0.831,0.359,0.275,1.56,2.05,1.92,-13.125002384185793,80.51948003693322
LGHL,0.0,-0.221,0.322,0.0,0.0,0.0,0.0,-12.965257005057456,958.8679475604364
EXXARO,0.0,3.56,1.01,0.706,0.812,0.801,0.0256,-12.926392575078824,-17.587083674560226
RACE,0.0,1.31,0.554,0.0,0.0,0.0,0.0,-12.844038132643751,29.22584674681331
GICRE,0.444,3.64,2.67,0.317,0.839,0.92,0.998,-12.841113317968953,149.59772478299294
GOLDENTOBC,1.22,1.01,0.978,0.683,0.955,0.879,0.656,-12.773722805576224,-2.448981148856027
ISEC,1.31,0.826,0.612,1.11,1.02,1.14,1.61,-12.736419659033398,64.6385915258563
HINDPETRO,0.987,2.74,1.73,1.55,1.13,1.21,1.93,-12.65978167433406,110.27406404323858
METALFORGE,0.965,-0.233,-0.0133,0.104,0.892,0.952,1.26,-12.5000074505803,49.9999957425253
KARMAENG,2.0,1.47,0.391,2.79,1.59,1.16,2.86,-12.430556615193684,77.85612942207607
NIACL,1.16,4.3,2.26,0.436,1.12,1.16,2.55,-12.23853434991399,138.45474346342482
GULFPETRO,0.987,5.71,3.06,0.23,1.35,1.13,1.29,-12.20930799914401,94.97847897669344
ZAGGLE,0.0,2.32,0.913,0.0,0.0,0.0,0.0,-12.20530980350086,85.79096991932451
BODALCHEM,1.38,4.15,1.59,1.21,1.4,1.58,1.78,-11.896100725446429,27.903467795556168
PKTEA,0.694,0.696,0.943,0.133,0.244,-0.271,-0.246,-11.806939326621766,10.549997965494793
SABEVENTS,0.0,1.52,0.384,1.69,0.62,-0.581,-1.01,-11.805554543748286,118.96550675209616
SWSOLAR,1.09,2.42,1.13,1.25,1.03,0.829,1.12,-11.68524329290948,75.15069970182508
LOTUSEYE,0.627,1.56,1.27,0.716,1.44,2.21,1.93,-11.62957948508982,-0.6456844567437042
INNOVACAP,0.0,1.37,0.333,0.0,0.0,0.0,0.0,-11.59158104362848,-14.277801038927892
FLUOROCHEM,0.796,2.54,1.0,0.414,1.13,1.23,0.636,-11.524626669387064,1.6615717264632617
JBMA,0.492,2.6,0.745,1.2,0.837,1.27,0.808,-11.473731382281064,152.73686833074055
RHFL,2.15,-0.493,-0.0418,1.72,1.75,2.82,3.22,-11.42857415335519,-10.144931542425134
JKLAKSHMI,1.45,2.31,1.34,0.794,1.37,0.891,0.423,-11.39844975059276,3.23076908156063
GAEL,0.286,3.05,1.38,1.5,0.986,0.786,0.0402,-11.393653940824905,44.954208613190815
MANOMAY,0.0,1.55,1.38,0.976,0.0,0.0,0.0,-11.376002744446872,32.250576925005944
IL&FSTRANS,0.958,0.057,0.141,-0.71,0.279,0.026,-0.433,-11.340200509537382,36.50793843018249
IL&FSENGG,-0.72,2.55,0.816,1.06,0.736,0.644,-0.085,-11.33896423746688,169.23077675482716
SAH,0.0,2.57,1.61,0.589,0.0,0.0,0.0,-11.310590934950785,32.262392353528384
GLFL,0.0,0.247,0.0108,0.554,-0.0438,1.07,-1.46,-11.304349484650986,307.99999237060547
BCG,2.82,2.95,2.04,1.16,1.74,1.76,3.02,-11.294761874086197,-8.781865555584734
GREENPANEL,1.82,1.58,0.464,1.1,1.18,0.977,1.47,-11.25285167440978,18.56434058040124
MASTEK,1.43,2.12,1.5,0.743,1.59,1.66,1.03,-11.199749996338156,71.46241537039523
QUICKHEAL,0.794,4.38,1.48,-0.683,0.963,1.39,1.53,-11.168433495103102,236.36053497588608
RATEGAIN,0.0,1.11,1.11,-0.111,1.01,0.695,0.362,-11.163474710387163,100.57512580877066
ACI,0.0,2.35,0.664,0.924,0.0,0.0,0.0,-11.15916514810794,0.1312727536269487
PATANJALI,1.62,2.03,1.1,1.54,1.36,0.703,0.962,-11.151356506167955,44.81468543604672
AKSHARCHEM,1.3,1.32,1.65,1.75,1.44,1.62,1.35,-11.12,23.116131420916524
ISFT,0.257,3.0,1.62,0.459,1.25,1.52,0.06,-11.06816560943527,-14.63743470370468
