Company_Name,Return,LTP,NIFTY50
JPPOWER,-11.569016853613356,17.81,False
OSWALSEEDS,-11.526146214045358,24.87,False
MASFIN,-11.514867201731604,281.25,False
ELGIEQUIP,-11.50546003581967,680.7,False
SCHNEIDER,-11.48446506058093,785.0,False
GALLANTT,-11.463721711083474,316.65,False
NMDC,-11.405303261496805,233.89,False
INGERRAND,-11.379170096696177,4164.2,False
PVP,-11.361120820226027,24.03,False
HLEGLAS,-11.307347627385132,424.35,False
VAKRANGEE,-11.305458865838776,20.79,False
TRF,-11.303212474885967,510.45,False
EMAMIREAL,-11.289711239816809,94.37,False
VALIANTORG,-11.2834980462365,377.4,False
CROWN,-11.25843555442381,260.35,False
INFOMEDIA,-11.22714978862294,6.8,False
GOLDTECH,-11.158918216494358,128.02,False
EDELWEISS,-11.09152236067164,60.52,False
STEELCITY,-11.05715778846193,87.92,False
JINDALSTEL,-11.046787387352266,952.6,False
ZEEL,-11.030237299251972,134.46,False
KALYANIFRG,-11.024059222702036,567.8,False
CINELINE,-11.005597556604094,125.58,False
PRITIKAUTO,-10.95221270070653,25.53,False
DIAMONDYD,-10.924677861201298,857.35,False
DBOL,-10.904387376867152,134.57,False
ZEEMEDIA,-10.869566380479665,12.71,False
SANDUMA,-10.855067180405442,528.05,False
SWSOLAR,-10.839157911809613,663.0,False
SHIVAMAUTO,-10.82572812782514,37.15,False
MOIL,-10.794874868086026,484.25,False
APOLSINHOT,-10.727294741731605,1396.85,False
CORDSCABLE,-10.67986794722233,240.95,False
ROLTA,-10.650886460938244,4.53,False
CENTENKA,-10.641254554547688,546.25,False
SALSTEEL,-10.611513644961285,19.88,False
EIHOTEL,-10.611474595597828,400.55,False
CUPID,-10.556088303908034,83.8,False
BHARATRAS,-10.53557252816971,10687.6,False
ORIENTLTD,-10.527748221675838,98.67,False
JISLJALEQS,-10.513051525003698,70.99,False
SHRIRAMPPS,-10.452872921636198,102.03,False
TREEHOUSE,-10.390624249121188,22.94,False
GOACARBON,-10.37339679211129,746.5,False
BEARDSELL,-10.35517618071704,35.84,False
KHAITANLTD,-10.353993043857544,74.2,False
TEXMOPIPES,-10.334691446150392,70.19,False
PARSVNATH,-10.291859489059114,11.68,False
FCSSOFT,-10.28038023527902,3.84,False
CAPACITE,-10.247957712177865,285.95,False
MAHEPC,-10.21851845587316,140.93,False
LIKHITHA,-10.19472712937413,431.2,False
AKI,-10.188089086333685,22.92,False
CUMMINSIND,-10.183663755262325,3611.7,False
DANGEE,-10.16311121835128,7.16,False
JITFINFRA,-10.158628231296117,798.6,False
SENCO,-10.135528563962486,941.6,False
USK,-10.132540524009816,72.55,False
IMPEXFERRO,-10.052906849166629,3.4,False
ADFFOODS,-10.03092208820253,218.22,False
CHEVIOT,-10.028072108275582,1378.1,False
SOBHA,-9.989968618713943,1794.35,False
CREDITACC,-9.984366813453976,1267.15,False
INFIBEAM,-9.981168374938996,28.68,False
NIRAJ,-9.977107449299163,47.19,False
ASTERDM,-9.965679558810912,327.95,False
TATASTEEL,-9.912339134719684,160.32,True
PAKKA,-9.887129092032689,238.7,False
BALKRISHNA,-9.843571208800611,23.63,False
UNIVASTU,-9.811845433277496,174.0,False
ELIN,-9.808075041831032,191.73,False
MATRIMONY,-9.632949677820326,573.65,False
SHRADHA,-9.597113974612332,138.0,False
RAINBOW,-9.58940554788326,1145.75,False
ORTINLAB,-9.56193510630212,19.2,False
IPL,-9.555020626538042,209.76,False
SANWARIA,-9.523807834335411,0.38,False
LORDSCHLO,-9.473683063248943,120.4,False
JYOTISTRUC,-9.45752881954726,25.37,False
PASHUPATI,-9.457053978017973,,False
AHLEAST,-9.435676152110826,129.19,False
