Company_Name,Return,LTP,NIFTY50
RADIANTCMS,-15.872212746520944,82.95,False
LOYALTEX,-15.789477036922037,564.8,False
FEL,-15.789471372673027,0.8,False
SHIVALIK,-15.729595505513352,640.75,False
MUFIN,-15.665427282397188,113.43,False
POLYPLEX,-15.486417682072643,1056.8,False
UPL,-15.42332073370108,529.45,False
AETHER,-15.422542328039324,909.25,False
BAJAJELEC,-14.910390520228678,994.1,False
BANDHANBNK,-14.835011718568344,185.83,False
FCONSUMER,-14.736840784384588,0.81,False
ASIANPAINT,-14.674744569192011,2901.4,True
AVALON,-14.636157530586411,518.5,False
ASHOKAMET,-14.593405251974586,19.43,False
SDBL,-14.51835532327583,111.28,False
KANSAINER,-14.490051374102324,275.0,False
TARSONS,-14.466771694834208,512.9,False
MANYAVAR,-14.410880222919584,1069.65,False
GNA,-14.084147203032185,420.15,False
UNIVPHOTO,-13.92881859208879,365.2,False
SFL,-13.724830166605496,1028.4,False
UTTAMSUGAR,-13.689770588386963,326.9,False
AUBANK,-13.62641392619812,631.65,False
AARTIDRUGS,-13.623668761555052,525.6,False
SECURKLOUD,-13.602688355497254,38.49,False
MUTHOOTCAP,-13.595753160641957,333.65,False
ARMANFIN,-13.58058315368919,1908.4,False
SRHHYPOLTD,-13.459606376546027,646.5,False
PRAXIS,-13.398056442582416,13.38,False
DISHTV,-13.31492127234272,15.69,False
JAYBARMARU,-13.296442446501358,109.68,False
GULPOLY,-13.290831450051902,197.22,False
SADHNANIQ,-13.055106844999925,81.25,False
BAJFINANCE,-12.603779301720824,6647.75,True
SBFC,-12.418652198730342,80.75,False
FEDFINA,-12.171122777058264,123.18,False
MPTODAY,-12.13534920283062,,False
FOCUS,-11.845369898097712,135.0,False
MATRIMONY,-11.697508068065982,579.75,False
LANDMARK,-11.47810555714769,645.9,False
HAPPSTMNDS,-11.474701659185357,817.0,False
LINC,-11.396867720148364,602.9,False
GREENPANEL,-11.35571946688084,318.1,False
HMAAGRO,-11.275627088199204,54.53,False
RAMCOCEM,-10.778743608681951,800.85,False
ATAM,-10.511345665358194,179.38,False
MTEDUCARE,-10.400002797444662,3.36,False
IDFCFIRSTB,-10.102346877000937,74.66,False
INFOBEAN,-10.046969773452014,440.5,False
ORTINLAB,-10.00000737139541,18.63,False
EASTSILK,-10.000002384185793,,False
MTARTECH,-9.811950887397764,1904.05,False
DEVYANI,-9.76603957841981,179.34,False
LASA,-9.689922767163736,23.3,False
VIRINCHI,-9.598896470914491,32.68,False
SPANDANA,-9.336192566496416,697.25,False
REPRO,-9.26334526942294,679.3,False
NDTV,-9.054707955224425,216.95,False
PSPPROJECT,-8.876895486403878,675.45,False
BAFNAPH,-8.77838134765625,84.38,False
MUTHOOTMF,-8.67931293423625,243.05,False
AUTOAXLES,-8.665422611125477,2010.0,False
TRU,-8.488931246673156,47.54,False
KABRAEXTRU,-8.43274568256579,391.45,False
RELAXO,-8.423496052091238,867.55,False
REPL,-8.331579911081414,174.17,False
M&MFIN,-8.202690070145486,289.85,False
SIYSIL,-8.084842680550205,507.05,False
SHANKARA,-8.075677631749935,677.85,False
DELHIVERY,-8.03971696951701,379.75,False
ACEINTEG,-8.028779613028329,31.96,False
SHALPAINTS,-7.777048989866134,141.47,False
WESTLIFE,-7.629184821941198,833.0,False
MANORG,-7.587838360115979,428.7,False
EQUITASBNK,-7.494780873124447,88.62,False
ROSSARI,-7.364230878589708,814.5,False
CREDITACC,-7.195272301059886,1271.1,False
DALBHARAT,-7.17335564706254,1771.55,False
KAMATHOTEL,-7.062329669427964,218.45,False
TOUCHWOOD,-6.723255617306877,137.35,False
PEL,-6.503982847905254,938.7,False
BATAINDIA,-6.0817137667181065,1597.55,False
